HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017"
85332900,853329,42,Intermediate,18643762,8742225,18523592,19388202,4042883,15303193
85333100,853331,42,Intermediate,897479,425316,428229,594000,177041,583674.6875
85334040,853340,42,Intermediate,26802070,31830344,33968488,28576288,5813580,30866968
85334080,853340,42,Intermediate,118899288,101368568,94204848,89084880,21645798,104824232
85339080,853390,42,Intermediate,2518735,3283360,3676018,6458729,1003077,3159371
85351000,853510,42,Intermediate,15571354,20619688,20578944,13765791,4477265,18923328
85352100,853521,42,Intermediate,2875605,2695167,4991543,4039150,1136784,3520771.75
85352900,853529,42,Intermediate,11085227,9607976,7440862,4708158,909120,9378022
85353000,853530,42,Intermediate,17451592,9160417,10128833,9018857,1686354,12246947
85359040,853590,42,Intermediate,1198709,734506,402743,1827644,276340,778652.6875
85359080,853590,42,Intermediate,49261080,50319540,53351540,43143000,11646856,50977388
85361000,853610,42,Intermediate,17639192,19381924,13867700,18978292,4379390,16962938
85362000,853620,42,Intermediate,45631700,55207936,59367320,54287960,18235968,53402320
85363040,853630,42,Intermediate,12840213,8472689,10236394,11185368,3599436,10516432
85364100,853641,42,Intermediate,117787072,102218216,124478424,130785568,36557496,114827904
85364900,853649,42,Intermediate,110290312,110110912,121258584,124771104,36710604,113886600
85365040,853650,42,Intermediate,24445940,21120804,19436020,19384454,5953718,21667588
85365090,853650,42,Intermediate,419377856,415893152,484902592,448216704,125863192,440057856
85366940,853669,42,Intermediate,495257536,535297024,543460160,537807424,117157640,524671584
85369040,853690,42,Intermediate,138758992,130546464,141295872,152119744,38151428,136867104
85369085,853690,42,Intermediate,0,97096912,192301728,208588928,57598024,96466216
85371060,853710,42,Intermediate,21578496,11626176,19569668,20735400,3750045,17591446
85371080,853710,42,Intermediate,0,4933598,25944068,28423732,8021757,10292555
85372000,853720,42,Intermediate,7947265,6127381,7254243,4989742,2167401,7109629.5
85381000,853810,42,Intermediate,15105336,18509820,19482494,18863666,8741802,17699216
85389040,853890,42,Intermediate,743446,780830,1189801,1311862,207958,904692.3125
85389060,853890,42,Intermediate,155713104,179796464,187691456,161930064,22995062,174400336
85389081,853890,42,Intermediate,0,125207600,253241744,273756288,69948040,126149784
85394100,853941,42,Intermediate,5569010,5576567,4163591,3130975,937337,5103056
85399000,853990,22,Intermediate,12491514,14365150,18237976,14205050,2397471,15031547
85407910,854079,42,Intermediate,0,32950,0,0,0,10983.33301
85407920,854079,42,Intermediate,3381,2108,0,0,0,1829.666626
85408900,854089,42,Intermediate,5245675,5030085,4883710,4833847,1299833,5053156.5
85412100,854121,42,Intermediate,53851224,78191072,72892008,61696444,15737826,68311432
